iteration,top1,param_name,normalized_macs,total_macs
42,87.03,module.layer2.0.conv1.weight,0.6994602272727273,28363392
43,86.25,module.layer1.0.conv2.weight,0.6930965909090909,28105344
44,86.33,module.layer1.1.conv1.weight,0.6869602272727273,27856512
45,86.4,module.layer1.0.conv1.weight,0.6808238636363636,27607680
46,86.14,module.conv1.weight,0.6774147727272727,27469440
47,86.91,module.layer2.1.conv1.weight,0.6715056818181818,27229824
48,86.58,module.conv1.weight,0.6680965909090909,27091584
49,86.11999999999999,module.conv1.weight,0.6646875,26953344
50,86.36,module.layer1.0.conv1.weight,0.6592329545454545,26732160
51,86.75,module.layer3.2.conv2.weight,0.6551136363636364,26565120
52,86.58,module.layer1.2.conv1.weight,0.64875,26307072
53,86.7,module.layer3.2.conv2.weight,0.6454545454545455,26173440
54,85.39,module.layer2.2.conv2.weight,0.64125,26002944
55,86.50999999999999,module.layer3.2.conv2.weight,0.6379545454545454,25869312
56,86.59,module.layer1.0.conv2.weight,0.6322727272727273,25638912
57,86.96000000000001,module.layer1.2.conv2.weight,0.6285795454545454,25489152
58,86.2,module.layer2.0.conv2.weight,0.6226704545454546,25249536
59,86.77,module.layer1.0.conv1.weight,0.6174431818181818,25037568
60,86.45,module.layer3.1.conv2.weight,0.6105113636363636,24756480
61,86.28,module.layer3.2.conv2.weight,0.6072159090909091,24622848
62,86.07000000000001,module.layer3.2.conv2.weight,0.6047443181818182,24522624
63,86.6,module.layer3.2.conv1.weight,0.5992755681818182,24300864
64,86.39,module.layer2.2.conv1.weight,0.5933664772727273,24061248
65,85.96000000000001,module.layer3.1.conv1.weight,0.5850994318181818,23726016
66,85.84,module.layer3.0.conv1.weight,0.5805539772727273,23541696
67,86.14,module.layer1.0.conv1.weight,0.5753267045454545,23329728
68,85.66,module.layer2.0.conv2.weight,0.5694176136363637,23090112
69,85.82,module.layer2.0.conv1.weight,0.5654403409090909,22928832
70,86.35,module.layer1.0.conv2.weight,0.5602130681818182,22716864
71,86.14999999999999,module.layer3.0.conv2.weight,0.55296875,22423104
72,86.11999999999999,module.layer3.1.conv1.weight,0.546434659090909,22158144
73,85.81,module.layer3.0.conv1.weight,0.5421732954545454,21985344
74,85.33999999999999,module.layer3.1.conv2.weight,0.5361505681818182,21741120
75,86.13,module.layer3.2.conv1.weight,0.5309659090909091,21530880
76,84.36,module.layer2.2.conv2.weight,0.5272159090909091,21378816
77,86.0,module.layer2.0.conv1.weight,0.5232386363636363,21217536
78,85.9,module.layer3.2.conv1.weight,0.519090909090909,21049344
79,85.33,module.layer2.2.conv1.weight,0.5134090909090909,20818944
80,85.18,module.layer1.1.conv1.weight,0.5077272727272727,20588544
81,85.50999999999999,module.layer3.2.conv2.weight,0.5058522727272727,20512512
82,86.08,module.layer2.0.conv2.weight,0.5003977272727272,20291328
83,86.27,module.layer3.0.conv2.weight,0.49511363636363637,20077056
