iteration,top1,param_name,normalized_macs,total_macs
43,85.32,module.layer1.0.conv2.weight,0.7263636363636363,29454336
44,84.17,module.layer1.0.conv1.weight,0.7213636363636363,29251584
45,84.57000000000001,module.layer2.1.conv2.weight,0.7125,28892160
46,84.23,module.layer3.1.conv2.weight,0.7038920454545454,28543104
47,84.85000000000001,module.layer1.1.conv1.weight,0.6982102272727273,28312704
48,84.33,module.layer1.2.conv2.weight,0.6941193181818182,28146816
49,84.68,module.layer1.0.conv1.weight,0.6891193181818182,27944064
50,83.42,module.layer1.0.conv1.weight,0.6841193181818181,27741312
51,83.09,module.layer3.2.conv1.weight,0.6789488636363636,27531648
52,82.91,module.layer1.2.conv2.weight,0.6748579545454545,27365760
53,83.03,module.layer1.2.conv2.weight,0.6707670454545455,27199872
54,82.0,module.layer2.1.conv2.weight,0.6648579545454546,26960256
55,83.07,module.layer1.2.conv1.weight,0.6589488636363636,26720640
56,80.97,module.layer3.2.conv2.weight,0.6570738636363637,26644608
57,82.37,module.layer2.0.conv1.weight,0.6499147727272727,26354304
58,82.21000000000001,module.layer3.2.conv1.weight,0.6449147727272727,26151552
59,82.58,module.layer1.0.conv2.weight,0.6396875,25939584
60,82.19,module.conv1.weight,0.6367329545454545,25819776
61,82.48,module.layer3.1.conv2.weight,0.6301278409090909,25551936
62,83.72,module.layer2.1.conv2.weight,0.62421875,25312320
63,81.89,module.layer1.0.conv1.weight,0.6196732954545454,25128000
64,81.84,module.layer2.0.conv2.weight,0.6135369318181818,24879168
65,83.2,module.layer2.0.conv1.weight,0.6089914772727273,24694848
66,81.42,module.layer2.1.conv2.weight,0.6030823863636363,24455232
67,81.43,module.layer2.0.conv1.weight,0.5985369318181818,24270912
68,82.67,module.layer2.0.conv1.weight,0.5939914772727273,24086592
69,82.43,module.layer2.2.conv1.weight,0.5880823863636364,23846976
70,80.61,module.layer2.0.conv1.weight,0.5835369318181818,23662656
71,80.5,module.layer3.2.conv1.weight,0.5788210227272728,23471424
72,79.95,module.layer3.2.conv2.weight,0.5772869318181818,23409216
73,81.08999999999999,module.layer3.1.conv1.weight,0.5689772727272727,23072256
74,81.35,module.layer3.2.conv2.weight,0.5679545454545455,23030784
75,81.83,module.layer2.2.conv2.weight,0.5632954545454546,22841856
76,80.43,module.layer1.2.conv2.weight,0.5600568181818182,22710528
77,80.65,module.layer1.2.conv2.weight,0.5568181818181818,22579200
78,81.39,module.layer3.2.conv1.weight,0.5534943181818182,22444416
79,80.69,module.layer3.2.conv2.weight,0.5525568181818182,22406400
80,81.88,module.layer3.1.conv2.weight,0.5468039772727272,22173120
81,81.0,module.layer2.2.conv1.weight,0.5411221590909091,21942720
82,81.17,module.layer3.2.conv2.weight,0.5401846590909091,21904704
83,81.4,module.layer3.2.conv2.weight,0.5392471590909091,21866688
84,82.12,module.layer1.1.conv2.weight,0.5342471590909091,21663936
85,81.64,module.layer3.1.conv2.weight,0.5296448863636364,21477312
86,81.87,module.layer1.1.conv1.weight,0.5244176136363636,21265344
87,80.61,module.layer3.2.conv2.weight,0.5239488636363636,21246336
88,81.08,module.layer2.2.conv2.weight,0.5195170454545455,21066624
89,81.55,module.layer3.2.conv1.weight,0.516875,20959488
90,80.51,module.layer1.1.conv2.weight,0.5121022727272727,20765952
91,80.76,module.layer2.0.conv1.weight,0.5077840909090909,20590848
92,78.69,module.layer2.2.conv2.weight,0.5033522727272727,20411136
93,79.67999999999999,module.layer3.1.conv1.weight,0.49721590909090907,20162304
